category,module_title,module_file,question_id,question_type,question,answers,answer_options
Body_temperture,Fever Symptom Module,Body_temperture/fever.md,FEV-2,Multiple choice,What best describes your fever?,[ ] Measured at home [ ] Felt hot but not measured [ ] Comes and goes [ ] Persistent [ ] Not sure,Measured at home; Felt hot but not measured; Comes and goes; Persistent; Not sure
Body_temperture,Fever Symptom Module,Body_temperture/fever.md,FEV-3,Multiple choice,Do you have any of these symptoms?,[ ] Cough [ ] Sore throat [ ] Runny nose [ ] Abdominal pain [ ] Painful urination [ ] Rash,Cough; Sore throat; Runny nose; Abdominal pain; Painful urination; Rash
Body_temperture,Fever Symptom Module,Body_temperture/fever.md,FEV-6,Multiple choice,Are any of these happening now?,[ ] Confusion [ ] Severe weakness [ ] Trouble breathing [ ] Stiff neck [ ] Purple rash [ ] None,Confusion; Severe weakness; Trouble breathing; Stiff neck; Purple rash; None
ENT,ENT Symptom Module,ENT/ent.md,ENT-1,Multiple choice,Which area is bothering you most?,[ ] Ear [ ] Nose [ ] Throat [ ] Sinus / face [ ] More than one area [ ] Not sure,Ear; Nose; Throat; Sinus / face; More than one area; Not sure
ENT,ENT Symptom Module,ENT/ent.md,ENT-2,Multiple choice,What symptom do you have?,[ ] Pain [ ] Congestion [ ] Sore throat [ ] Hearing change [ ] Discharge [ ] Bleeding,Pain; Congestion; Sore throat; Hearing change; Discharge; Bleeding
ENT,ENT Symptom Module,ENT/ent.md,ENT-6,Multiple choice,Are any of these happening now?,[ ] Trouble breathing [ ] Drooling / cannot swallow saliva [ ] Severe neck swelling [ ] Severe bleeding [ ] Sudden hearing loss [ ] None,Trouble breathing; Drooling / cannot swallow saliva; Severe neck swelling; Severe bleeding; Sudden hearing loss; None
Eye,Eye Symptom Module,Eye/eye.md,EYE-1,Multiple choice,Which eye is affected?,[ ] Left [ ] Right [ ] Both [ ] Not sure,Left; Right; Both; Not sure
Eye,Eye Symptom Module,Eye/eye.md,EYE-2,Multiple choice,What is the main eye problem?,[ ] Redness [ ] Pain [ ] Discharge [ ] Vision change [ ] Itching [ ] Swelling,Redness; Pain; Discharge; Vision change; Itching; Swelling
Eye,Eye Symptom Module,Eye/eye.md,EYE-3,Single choice,How did it start?,[ ] Suddenly [ ] Gradually [ ] After injury [ ] After chemical exposure [ ] After contact lens use [ ] Not sure,Suddenly; Gradually; After injury; After chemical exposure; After contact lens use; Not sure
Eye,Eye Symptom Module,Eye/eye.md,EYE-6,Multiple choice,Are any of these happening now?,[ ] Sudden vision loss [ ] Severe eye pain [ ] Chemical exposure [ ] Penetrating injury concern [ ] New unequal pupils [ ] None,Sudden vision loss; Severe eye pain; Chemical exposure; Penetrating injury concern; New unequal pupils; None
GI,Abdominal Swelling And Ascites Symptom Module,GI/abdominal_swelling_ascites.md,ASA-1,Multiple choice,What abdominal change do you notice?,[ ] Swelling / bloating [ ] Rapid increase in size [ ] Tight abdomen [ ] Weight gain with swelling [ ] Not sure,Swelling / bloating; Rapid increase in size; Tight abdomen; Weight gain with swelling; Not sure
GI,Abdominal Swelling And Ascites Symptom Module,GI/abdominal_swelling_ascites.md,ASA-2,Single choice,When did it start?,[ ] Today [ ] 1-3 days ago [ ] 4-7 days ago [ ] More than 1 week ago [ ] Long-term issue [ ] Not sure,Today; 1-3 days ago; 4-7 days ago; More than 1 week ago; Long-term issue; Not sure
GI,Abdominal Swelling And Ascites Symptom Module,GI/abdominal_swelling_ascites.md,ASA-3,Multiple choice,Do you have abdominal pain?,[ ] No pain [ ] Mild [ ] Moderate [ ] Severe [ ] Not sure,No pain; Mild; Moderate; Severe; Not sure
GI,Abdominal Swelling And Ascites Symptom Module,GI/abdominal_swelling_ascites.md,ASA-5,Multiple choice,Are any of these happening now?,[ ] Severe abdominal pain [ ] Fever with swollen abdomen [ ] Trouble breathing [ ] Vomiting blood / black stool [ ] Confusion [ ] None,Severe abdominal pain; Fever with swollen abdomen; Trouble breathing; Vomiting blood / black stool; Confusion; None
GI,Diarrhea And Constipation Symptom Module,GI/diarrhea_constipation.md,DC-1,Multiple choice,What bowel problem do you have?,[ ] Diarrhea [ ] Constipation [ ] Alternating diarrhea and constipation [ ] Blood in stool [ ] Not sure,Diarrhea; Constipation; Alternating diarrhea and constipation; Blood in stool; Not sure
GI,Diarrhea And Constipation Symptom Module,GI/diarrhea_constipation.md,DC-3,Multiple choice,What best describes the stool?,[ ] Watery [ ] Hard / pellet-like [ ] Black [ ] Bloody [ ] Mucus [ ] Not sure,Watery; Hard / pellet-like; Black; Bloody; Mucus; Not sure
GI,Diarrhea And Constipation Symptom Module,GI/diarrhea_constipation.md,DC-5,Multiple choice,Are any of these happening now?,[ ] Blood or black stool [ ] Severe abdominal pain [ ] Unable to pass stool or gas with swelling [ ] Fainting [ ] Unable to keep fluids [ ] None,Blood or black stool; Severe abdominal pain; Unable to pass stool or gas with swelling; Fainting; Unable to keep fluids; None
GI,Dysphagia Symptom Module,GI/dysphagia.md,DYS-1,Multiple choice,What swallowing problem do you have?,[ ] Trouble swallowing solids [ ] Trouble swallowing liquids [ ] Food feels stuck [ ] Pain with swallowing [ ] Coughing / choking while swallowing [ ] Not sure,Trouble swallowing solids; Trouble swallowing liquids; Food feels stuck; Pain with swallowing; Coughing / choking while swallowing; Not sure
GI,Dysphagia Symptom Module,GI/dysphagia.md,DYS-3,Multiple choice,Where does it feel stuck or painful?,[ ] Throat [ ] Chest [ ] Upper abdomen [ ] Not painful / not stuck [ ] Not sure,Throat; Chest; Upper abdomen; Not painful / not stuck; Not sure
GI,Dysphagia Symptom Module,GI/dysphagia.md,DYS-5,Multiple choice,Are any of these happening now?,[ ] Cannot swallow saliva [ ] Trouble breathing [ ] Choking episode [ ] New trouble speaking / weakness [ ] Severe chest pain [ ] None,Cannot swallow saliva; Trouble breathing; Choking episode; New trouble speaking / weakness; Severe chest pain; None
GI,Gastrointestinal Bleeding Symptom Module,GI/gastrointestinal_bleeding.md,GIB-1,Multiple choice,What bleeding did you notice?,[ ] Vomiting blood [ ] Coffee-ground vomit [ ] Black stool [ ] Red blood in stool [ ] Blood on toilet paper [ ] Not sure,Vomiting blood; Coffee-ground vomit; Black stool; Red blood in stool; Blood on toilet paper; Not sure
GI,Gastrointestinal Bleeding Symptom Module,GI/gastrointestinal_bleeding.md,GIB-2,Single choice,How much bleeding is there?,[ ] Small streaks [ ] Small amount [ ] Moderate amount [ ] Large amount / clots [ ] Not sure,Small streaks; Small amount; Moderate amount; Large amount / clots; Not sure
GI,Gastrointestinal Bleeding Symptom Module,GI/gastrointestinal_bleeding.md,GIB-3,Single choice,When did it start?,[ ] Just now [ ] Today [ ] 1-3 days ago [ ] More than 3 days ago [ ] Not sure,Just now; Today; 1-3 days ago; More than 3 days ago; Not sure
GI,Gastrointestinal Bleeding Symptom Module,GI/gastrointestinal_bleeding.md,GIB-5,Multiple choice,Are any of these happening now?,[ ] Large bleeding [ ] Fainting [ ] Severe weakness [ ] Severe abdominal pain [ ] Taking blood thinner medicine [ ] None,Large bleeding; Fainting; Severe weakness; Severe abdominal pain; Taking blood thinner medicine; None
GI,Jaundice Symptom Module,GI/jaundice.md,JAU-1,Multiple choice,What did you notice?,[ ] Yellow eyes [ ] Yellow skin [ ] Dark urine [ ] Pale stool [ ] Itchy skin [ ] Not sure,Yellow eyes; Yellow skin; Dark urine; Pale stool; Itchy skin; Not sure
GI,Jaundice Symptom Module,GI/jaundice.md,JAU-2,Single choice,When did it start?,[ ] Today [ ] 1-3 days ago [ ] 4-7 days ago [ ] More than 1 week ago [ ] Not sure,Today; 1-3 days ago; 4-7 days ago; More than 1 week ago; Not sure
GI,Jaundice Symptom Module,GI/jaundice.md,JAU-3,Multiple choice,Do you have any of these symptoms?,[ ] Fever [ ] Right upper abdominal pain [ ] Nausea / vomiting [ ] Weight loss [ ] Fatigue [ ] None,Fever; Right upper abdominal pain; Nausea / vomiting; Weight loss; Fatigue; None
GI,Jaundice Symptom Module,GI/jaundice.md,JAU-5,Multiple choice,Are any of these happening now?,[ ] Fever with abdominal pain [ ] Confusion [ ] Severe weakness [ ] Vomiting blood / black stool [ ] Severe abdominal pain [ ] None,Fever with abdominal pain; Confusion; Severe weakness; Vomiting blood / black stool; Severe abdominal pain; None
GI,Nausea And Vomiting Symptom Module,GI/nausea_vomiting.md,NV-1,Multiple choice,What is the main problem?,[ ] Nausea only [ ] Vomiting [ ] Both nausea and vomiting [ ] Unable to keep fluids [ ] Not sure,Nausea only; Vomiting; Both nausea and vomiting; Unable to keep fluids; Not sure
GI,Nausea And Vomiting Symptom Module,GI/nausea_vomiting.md,NV-2,Single choice,How many times have you vomited today?,[ ] 0 [ ] 1-2 [ ] 3-5 [ ] More than 5 [ ] Not sure,0; 1-2; 3-5; More than 5; Not sure
GI,Nausea And Vomiting Symptom Module,GI/nausea_vomiting.md,NV-3,Multiple choice,What did the vomit look like?,[ ] Food / liquid [ ] Yellow / green [ ] Blood or coffee-ground color [ ] Not sure [ ] No vomiting,Food / liquid; Yellow / green; Blood or coffee-ground color; Not sure; No vomiting
GI,Nausea And Vomiting Symptom Module,GI/nausea_vomiting.md,NV-6,Multiple choice,Are any of these happening now?,[ ] Vomiting blood [ ] Severe abdominal pain [ ] Severe headache [ ] Fainting or nearly fainting [ ] Unable to keep fluids [ ] None,Vomiting blood; Severe abdominal pain; Severe headache; Fainting or nearly fainting; Unable to keep fluids; None
GI,Unintentional Weight Loss Symptom Module,GI/unintentional_weight_loss.md,UWL-1,Single choice,How much weight have you lost without trying?,[ ] Less than 2 kg [ ] 2-5 kg [ ] More than 5 kg [ ] Clothes much looser [ ] Not sure,Less than 2 kg; 2-5 kg; More than 5 kg; Clothes much looser; Not sure
GI,Unintentional Weight Loss Symptom Module,GI/unintentional_weight_loss.md,UWL-2,Single choice,Over what time period?,[ ] Days [ ] Weeks [ ] 1-3 months [ ] More than 3 months [ ] Not sure,Days; Weeks; 1-3 months; More than 3 months; Not sure
GI,Unintentional Weight Loss Symptom Module,GI/unintentional_weight_loss.md,UWL-3,Multiple choice,How is your appetite?,[ ] Normal [ ] Reduced [ ] Cannot eat much [ ] Nausea / vomiting limits eating [ ] Increased appetite [ ] Not sure,Normal; Reduced; Cannot eat much; Nausea / vomiting limits eating; Increased appetite; Not sure
GI,Unintentional Weight Loss Symptom Module,GI/unintentional_weight_loss.md,UWL-5,Multiple choice,Are any of these happening now?,[ ] Severe weakness [ ] Unable to eat or drink [ ] Blood in stool / vomit [ ] Trouble swallowing [ ] Very abnormal kiosk vital sign [ ] None,Severe weakness; Unable to eat or drink; Blood in stool / vomit; Trouble swallowing; Very abnormal kiosk vital sign; None
Heart,Bradycardia Symptom Module,Heart/bradycardia.md,BRADY-1,Multiple choice,How do you feel right now?,[ ] Normal now [ ] Dizzy or lightheaded [ ] Fainting or nearly fainting [ ] Chest discomfort [ ] Shortness of breath [ ] Not sure,Normal now; Dizzy or lightheaded; Fainting or nearly fainting; Chest discomfort; Shortness of breath; Not sure
Heart,Bradycardia Symptom Module,Heart/bradycardia.md,BRADY-2,Single choice,When did the slow heart-rate concern or symptoms start?,[ ] Just now [ ] Today [ ] 1-3 days ago [ ] Longer than 3 days [ ] Not sure,Just now; Today; 1-3 days ago; Longer than 3 days; Not sure
Heart,Bradycardia Symptom Module,Heart/bradycardia.md,BRADY-6,Multiple choice,Are any of these happening now?,[ ] Fainting or nearly fainting [ ] Severe chest pain [ ] Trouble breathing [ ] New confusion or severe weakness [ ] Heart rate very low on kiosk [ ] None,Fainting or nearly fainting; Severe chest pain; Trouble breathing; New confusion or severe weakness; Heart rate very low on kiosk; None
Heart,Edema Symptom Module,Heart/edema.md,EDE-1,Multiple choice,Where is the swelling?,[ ] One leg / foot [ ] Both legs / feet [ ] Hands [ ] Face / eyelids [ ] Abdomen [ ] Whole body,One leg / foot; Both legs / feet; Hands; Face / eyelids; Abdomen; Whole body
Heart,Edema Symptom Module,Heart/edema.md,EDE-2,Single choice,When did swelling start?,[ ] Today [ ] 1-3 days ago [ ] 4-7 days ago [ ] More than 1 week ago [ ] Long-term issue [ ] Not sure,Today; 1-3 days ago; 4-7 days ago; More than 1 week ago; Long-term issue; Not sure
Heart,Edema Symptom Module,Heart/edema.md,EDE-3,Multiple choice,What is the swelling like?,[ ] Worse at night [ ] Better after raising legs [ ] Painful [ ] Red / warm [ ] Sudden one-sided swelling [ ] Not sure,Worse at night; Better after raising legs; Painful; Red / warm; Sudden one-sided swelling; Not sure
Heart,Edema Symptom Module,Heart/edema.md,EDE-5,Multiple choice,Are any of these happening now?,[ ] Shortness of breath at rest [ ] Chest pain [ ] Sudden one-sided leg swelling [ ] Face / tongue swelling [ ] Very abnormal kiosk vital sign [ ] None,Shortness of breath at rest; Chest pain; Sudden one-sided leg swelling; Face / tongue swelling; Very abnormal kiosk vital sign; None
Heart,Hypertension Symptom Module,Heart/hypertension.md,HTN-1,Multiple choice,Are any of these happening now?,"[ ] No symptoms now [ ] Severe headache [ ] Blurred vision or vision change [ ] Chest pain or pressure [ ] Shortness of breath [ ] Weakness, numbness, confusion, or trouble speaking [ ] Not sure","No symptoms now; Severe headache; Blurred vision or vision change; Chest pain or pressure; Shortness of breath; Weakness, numbness, confusion, or trouble speaking; Not sure"
Heart,Hypertension Symptom Module,Heart/hypertension.md,HTN-2,Single choice,When did these symptoms or the blood-pressure concern start?,[ ] Just now [ ] Today [ ] 1-3 days ago [ ] Longer than 3 days [ ] Not sure,Just now; Today; 1-3 days ago; Longer than 3 days; Not sure
Heart,Hypertension Symptom Module,Heart/hypertension.md,HTN-6,Multiple choice,Are any of these present now?,"[ ] Chest pain or pressure [ ] Shortness of breath [ ] Severe headache or vision change [ ] New weakness, numbness, confusion, or trouble speaking [ ] SBP very high on kiosk [ ] None","Chest pain or pressure; Shortness of breath; Severe headache or vision change; New weakness, numbness, confusion, or trouble speaking; SBP very high on kiosk; None"
Heart,Palpitation Symptom Module,Heart/palpitation.md,PAL-1,Multiple choice,What does your heartbeat feel like?,[ ] Racing [ ] Irregular / skipping beats [ ] Pounding [ ] Fluttering [ ] Slow heartbeat [ ] Not sure,Racing; Irregular / skipping beats; Pounding; Fluttering; Slow heartbeat; Not sure
Heart,Palpitation Symptom Module,Heart/palpitation.md,PAL-2,Single choice,How did it start?,[ ] Suddenly [ ] Gradually [ ] During activity [ ] At rest [ ] After caffeine / stimulant [ ] Not sure,Suddenly; Gradually; During activity; At rest; After caffeine / stimulant; Not sure
Heart,Palpitation Symptom Module,Heart/palpitation.md,PAL-6,Multiple choice,Are any of these happening now?,[ ] Fainting or nearly fainting [ ] Severe chest pain [ ] Trouble breathing [ ] Heart rate very high on kiosk [ ] New confusion / severe weakness [ ] None,Fainting or nearly fainting; Severe chest pain; Trouble breathing; Heart rate very high on kiosk; New confusion / severe weakness; None
Heart,Tachycardia Symptom Module,Heart/tachycardia.md,tachy-chief-concern,Single choice,What is the main reason you are using the kiosk today?,[ ] Heart racing / palpitations [ ] Chest tightness / pressure [ ] Shortness of breath or dizziness [ ] Other / not sure,Heart racing / palpitations; Chest tightness / pressure; Shortness of breath or dizziness; Other / not sure
Heart,Tachycardia Symptom Module,Heart/tachycardia.md,tachy-onset,Single choice,When did this start?,[ ] Within the last hour [ ] A few hours ago [ ] About half a day [ ] More than one day / not sure,Within the last hour; A few hours ago; About half a day; More than one day / not sure
Heart,Tachycardia Symptom Module,Heart/tachycardia.md,tachy-current-feeling,Multiple choice,Which descriptions fit what you feel now?,"[ ] Heart racing or pounding [ ] Chest tightness or heaviness [ ] Chest pressure or pain [ ] Burning, sharp discomfort, or not sure","Heart racing or pounding; Chest tightness or heaviness; Chest pressure or pain; Burning, sharp discomfort, or not sure"
Heart,Tachycardia Symptom Module,Heart/tachycardia.md,tachy-associated-symptoms,Multiple choice,Are any of these happening with it?,"[ ] Shortness of breath [ ] Sweating, nausea, or unusual fatigue [ ] Dizziness, lightheadedness, or fainting [ ] None of these","Shortness of breath; Sweating, nausea, or unusual fatigue; Dizziness, lightheadedness, or fainting; None of these"
Heart,Tachycardia Symptom Module,Heart/tachycardia.md,tachy-post-vital-heart-rate-cue,Single choice,The kiosk received a high heart-rate reading for this demo. How do you feel right now?,[ ] My heart still feels fast [ ] My chest still feels heavy / tight [ ] Both [ ] Neither now / not sure,My heart still feels fast; My chest still feels heavy / tight; Both; Neither now / not sure
Heart,Tachycardia Symptom Module,Heart/tachycardia.md,tachy-heart-history-meds,Multiple choice,"Have you been told you have a heart rhythm problem, or do you take heart / blood-pressure medicine?","[ ] Known rhythm problem [ ] Heart or blood-pressure medicine [ ] No known history / medicine [ ] Not sure, staff should confirm","Known rhythm problem; Heart or blood-pressure medicine; No known history / medicine; Not sure, staff should confirm"
Heart,Tachycardia Symptom Module,Heart/tachycardia.md,tachy-medication-allergy-confirm,Multiple choice,Do you have medication allergies or medicines staff should confirm?,[ ] Medication allergy [ ] Regular medicines [ ] No known medication allergy [ ] Not sure,Medication allergy; Regular medicines; No known medication allergy; Not sure
Hema,Bleeding And Thrombosis Symptom Module,Hema/bleeding_thrombosis.md,BTH-1,Multiple choice,What is the main concern?,[ ] Bleeding [ ] Easy bruising [ ] Blood clot concern [ ] Leg swelling / pain [ ] Taking blood thinner medicine [ ] Not sure,Bleeding; Easy bruising; Blood clot concern; Leg swelling / pain; Taking blood thinner medicine; Not sure
